q_over_kF,Kxc,sigma_Kxc,lambda_opt
0,-14.03739051,0.244020876,0.25
0.1999999695,-14.04239229,0.2246204134,0.25
0.4000003558,-14.08355035,0.2110164846,0.25
0.6000005338,-14.09616781,0.1869225811,0.25
0.8000007117,-14.10030803,0.1211003885,0.25
1.00000089,-14.08600214,0.06907597248,0.25
1.199998983,-13.94983652,0.04253440872,0.25
1.399999161,-13.63670472,0.1113831784,0.25
1.599999339,-12.99472069,0.1556356974,0.25
1.799999517,-11.85931821,0.1195236752,0.25
1.999999695,-9.791592357,0.01935476808,0.5
2.200006126,-7.521329948,0.02509878705,0.5
2.39998963,-5.312064453,0.1026366913,0.5
