q_over_kF,Kxc,sigma_Kxc,lambda_opt
0,-3.439918279,0.04188183624,0.5
0.1999999695,-3.441524913,0.0422268459,0.5
0.4000003558,-3.43961839,0.04273860403,0.5
0.6000005338,-3.423585495,0.04285268564,0.5
0.8000007117,-3.42442151,0.04453721861,0.5
1.00000089,-3.394117257,0.0446039161,0.5
1.199998983,-3.373709354,0.04605918645,0.5
1.399999161,-3.350210958,0.04776587511,0.5
1.599999339,-3.322514149,0.04984623885,0.5
1.799999517,-3.291767209,0.05243320157,0.5
1.999999695,-3.256476383,0.05533509377,0.5
2.200006126,-3.218033007,0.05870053827,0.5
2.39998963,-3.17585993,0.06279134133,0.5
