rs,theta,q,q_over_kF,lambda,order_N,Kxc_minus,sigma_Kxc_minus,Kxc_minus_times_NF,sigma_Kxc_minus_times_NF
4,1,0,0,0.25,1,1.246262361,0.0001345294476,0.03029218103,3.269929757e-06
4,1,0.0959579,0.1999999695,0.25,1,1.251919428,0.000124101856,0.03042968409,3.016472298e-06
4,1,0.191916,0.4000003558,0.25,1,1.268876144,0.0001493293939,0.0308418412,3.629663523e-06
4,1,0.287874,0.6000005338,0.25,1,1.300806009,0.0001354625528,0.03161794203,3.292610208e-06
4,1,0.383832,0.8000007117,0.25,1,1.351298715,0.0001428979973,0.03284523915,3.473339272e-06
4,1,0.47979,1.00000089,0.25,1,1.426332686,0.0001374237306,0.03466904665,3.340279427e-06
4,1,0.575747,1.199998983,0.25,1,1.534631284,0.0001530217912,0.03730139826,3.719412497e-06
4,1,0.671705,1.399999161,0.25,1,1.686666458,0.0001895465832,0.04099682962,4.607199566e-06
4,1,0.767663,1.599999339,0.25,1,1.896066719,0.000178502744,0.04608660108,4.338763332e-06
4,1,0.863621,1.799999517,0.25,1,2.175107131,0.0002478387751,0.05286907557,6.024074284e-06
4,1,0.959579,1.999999695,0.25,1,2.540770183,0.0002450474609,0.06175703665,5.956227418e-06
4,1,1.05554,2.200006126,0.25,1,3.005478852,0.0003354692262,0.07305244247,8.154057159e-06
4,1,1.15149,2.39998963,0.25,1,3.579855393,0.0004071367904,0.08701348205,9.896039341e-06
4,1,1.24745,2.599993976,0.25,1,4.26517853,0.0004703159457,0.1036712366,1.143169866e-05
4,1,1.34341,2.799998322,0.25,1,5.053357318,0.0006544615935,0.1228290442,1.59076208e-05
4,1,1.43937,3.000002669,0.25,1,5.926837083,0.0006920458639,0.1440602135,1.682116001e-05
4,1,1.53533,3.200007015,0.25,1,6.853704355,0.0008021892252,0.1665890421,1.949835122e-05
4,1,1.63128,3.399990519,0.25,1,7.785178243,0.001232327612,0.1892298412,2.995347711e-05
4,1,1.72724,3.599994866,0.25,1,8.684924538,0.001420937516,0.2110994559,3.453790936e-05
4,1,1.8232,3.799999212,0.25,1,9.498582032,0.002039289548,0.2308765597,4.956783586e-05
4,1,1.91916,4.000003558,0.25,1,10.19431712,0.002112269437,0.2477873915,5.134171596e-05
4,1,2.01512,4.200007905,0.25,1,10.74604248,0.002557377367,0.2611978619,6.216069791e-05
4,1,2.11107,4.399991409,0.25,1,11.15721362,0.003264185709,0.2711919619,7.934068097e-05
4,1,2.20703,4.599995755,0.25,1,11.42767515,0.003502775924,0.2777659144,8.513995584e-05
4,1,2.30299,4.800000102,0.25,1,11.58312685,0.004176401471,0.2815443893,0.0001015133838
4,1,2.39895,5.000004448,0.25,1,11.65313603,0.005438223722,0.283246062,0.0001321837701
4,1,0,0,0.25,2,-11.93285612,0.000603266332,-0.2900450571,1.466324708e-05
4,1,0.0959579,0.1999999695,0.25,2,-11.9335036,0.0004951160919,-0.2900607951,1.203450152e-05
4,1,0.191916,0.4000003558,0.25,2,-11.93574625,0.0005143620425,-0.2901153059,1.250230175e-05
4,1,0.287874,0.6000005338,0.25,2,-11.93519658,0.0005810887129,-0.2901019452,1.412418848e-05
4,1,0.383832,0.8000007117,0.25,2,-11.92392993,0.0005412790036,-0.2898280933,1.315655682e-05
4,1,0.47979,1.00000089,0.25,2,-11.891872,0.0005775080545,-0.2890488798,1.403715548e-05
4,1,0.575747,1.199998983,0.25,2,-11.82442788,0.0005880194994,-0.2874095544,1.429265111e-05
4,1,0.671705,1.399999161,0.25,2,-11.70386515,0.0006925341722,-0.2844791055,1.683302903e-05
4,1,0.767663,1.599999339,0.25,2,-11.50780719,0.0008600660692,-0.2797136376,2.090513031e-05
4,1,0.863621,1.799999517,0.25,2,-11.21175068,0.0008946213965,-0.2725175627,2.174504674e-05
4,1,0.959579,1.999999695,0.25,2,-10.79093956,0.001004484507,-0.2622891492,2.441542606e-05
4,1,1.05554,2.200006126,0.25,2,-10.22249436,0.001259178637,-0.2484722794,3.06061295e-05
4,1,1.15149,2.39998963,0.25,2,-9.486080951,0.001374995763,-0.2305727031,3.342122963e-05
4,1,1.24745,2.599993976,0.25,2,-8.580375441,0.001658781438,-0.2085582412,4.03190445e-05
4,1,1.34341,2.799998322,0.25,2,-7.523525474,0.001743224581,-0.1828699981,4.237155533e-05
4,1,1.43937,3.000002669,0.25,2,-6.331050449,0.00199028304,-0.1538851949,4.83766629e-05
4,1,1.53533,3.200007015,0.25,2,-5.056802278,0.002589881282,-0.1229127789,6.295075185e-05
